LocID,Period,Year,Trajectory,Mig
246,2044,2044,184,-0.00438
246,2045,2045,184,-0.00511
246,2046,2046,184,-0.00226
246,2047,2047,184,0.00148
246,2048,2048,184,0.00064
246,2049,2049,184,0.00517
246,2050,2050,184,0.0055
246,2051,2051,184,0.00384
246,2052,2052,184,0.00338
246,2053,2053,184,0.00345
246,2054,2054,184,0.00513
246,2055,2055,184,0.0045
246,2056,2056,184,0.0083
246,2057,2057,184,0.00599
246,2058,2058,184,0.00665
246,2059,2059,184,0.00648
246,2060,2060,184,0.00496
246,2061,2061,184,0.00573
246,2062,2062,184,0.00585
246,2063,2063,184,0.00747
246,2064,2064,184,0.00823
246,2065,2065,184,0.00552
246,2066,2066,184,0.00201
246,2067,2067,184,0.00126
246,2068,2068,184,-0.00021
246,2069,2069,184,-0.00048
246,2070,2070,184,0.00094
246,2071,2071,184,4e-04
246,2072,2072,184,-0.00188
246,2073,2073,184,-0.00362
246,2074,2074,184,-0.00533
246,2075,2075,184,-0.00428
246,2076,2076,184,-0.00482
246,2077,2077,184,-0.00527
246,2078,2078,184,-0.0029
246,2079,2079,184,-0.00361
246,2080,2080,184,0.00029
246,2081,2081,184,6e-05
246,2082,2082,184,0.00178
246,2083,2083,184,0.00057
246,2084,2084,184,-0.00039
246,2085,2085,184,-0.00175
246,2086,2086,184,-0.00092
246,2087,2087,184,-0.00291
246,2088,2088,184,-0.00146
246,2089,2089,184,-0.00177
246,2090,2090,184,0.00085
246,2091,2091,184,0.00031
246,2092,2092,184,0.0018
246,2093,2093,184,0.0038
246,2094,2094,184,0.00073
246,2095,2095,184,-0.00082
246,2096,2096,184,-0.00079
246,2097,2097,184,-0.00152
246,2098,2098,184,-0.00111
246,2099,2099,184,-0.00087
246,2100,2100,184,0.00011
246,2023,2023,205,0.00685
246,2024,2024,205,0.00228
246,2025,2025,205,-0.00123
246,2026,2026,205,-7e-04
246,2027,2027,205,-0.00022
246,2028,2028,205,-0.00318
246,2029,2029,205,-0.00111
246,2030,2030,205,-0.00348
246,2031,2031,205,-0.00144
246,2032,2032,205,-0.00112
246,2033,2033,205,0.00338
246,2034,2034,205,0.00171
246,2035,2035,205,0.00212
246,2036,2036,205,0.00358
246,2037,2037,205,0.00528
246,2038,2038,205,0.00382
246,2039,2039,205,0.00381
246,2040,2040,205,0.00142
246,2041,2041,205,0.00238
246,2042,2042,205,0.00161
246,2043,2043,205,0.00217
246,2044,2044,205,-2e-05
246,2045,2045,205,-0.00193
246,2046,2046,205,0.00207
246,2047,2047,205,0.00067
246,2048,2048,205,3e-04
246,2049,2049,205,-0.00159
246,2050,2050,205,-1e-04
246,2051,2051,205,-0.00088
246,2052,2052,205,-0.00261
246,2053,2053,205,-0.00225
246,2054,2054,205,-0.00238
246,2055,2055,205,-0.00271
246,2056,2056,205,0.00236
246,2057,2057,205,0.004
246,2058,2058,205,0.00666
246,2059,2059,205,0.00539
246,2060,2060,205,0.00525
246,2061,2061,205,0.00862
246,2062,2062,205,0.00549
246,2063,2063,205,0.00537
246,2064,2064,205,0.00039
246,2065,2065,205,-0.0016
246,2066,2066,205,0.00121
246,2067,2067,205,0.00128
246,2068,2068,205,0.00126
246,2069,2069,205,0.00025
246,2070,2070,205,-0.00189
246,2071,2071,205,-0.00224
246,2072,2072,205,0.00092
246,2073,2073,205,0.00078
246,2074,2074,205,0.00234
246,2075,2075,205,0.00674
246,2076,2076,205,0.00805
246,2077,2077,205,0.0057
246,2078,2078,205,0.00269
246,2079,2079,205,0.00291
246,2080,2080,205,-0.00028
246,2081,2081,205,-0.0021
246,2082,2082,205,0.00038
246,2083,2083,205,-0.00237
246,2084,2084,205,0.00072
246,2085,2085,205,-0.00081
246,2086,2086,205,-0.00335
246,2087,2087,205,-0.00237
246,2088,2088,205,-0.00035
246,2089,2089,205,0.0037
246,2090,2090,205,0.00242
246,2091,2091,205,0.00337
246,2092,2092,205,0.00461
246,2093,2093,205,0.00416
246,2094,2094,205,0.00644
246,2095,2095,205,0.00267
246,2096,2096,205,0.00316
246,2097,2097,205,0.00155
246,2098,2098,205,-0.00118
246,2099,2099,205,0.00049
246,2100,2100,205,0.00307
246,2023,2023,225,0.00685
246,2024,2024,225,0.0019
246,2025,2025,225,-6e-05
246,2026,2026,225,0.00245
246,2027,2027,225,0.00341
246,2028,2028,225,-0.00017
246,2029,2029,225,-0.00076
246,2030,2030,225,-0.00154
246,2031,2031,225,-0.00261
246,2032,2032,225,-0.00055
246,2033,2033,225,0.00215
246,2034,2034,225,0.00429
246,2035,2035,225,0.00389
246,2036,2036,225,0.00531
246,2037,2037,225,0.00442
246,2038,2038,225,0.00392
246,2039,2039,225,0.00206
246,2040,2040,225,0.00048
246,2041,2041,225,0.00304
246,2042,2042,225,0.00261
246,2043,2043,225,0.00243
246,2044,2044,225,0.00018
246,2045,2045,225,-0.00019
246,2046,2046,225,0.00175
246,2047,2047,225,-0.00031
246,2048,2048,225,-5e-04
246,2049,2049,225,-0.00283
246,2050,2050,225,-0.00203
246,2051,2051,225,-0.00164
246,2052,2052,225,0.00031
246,2053,2053,225,0.00437
246,2054,2054,225,0.00657
246,2055,2055,225,0.00708
246,2056,2056,225,0.00455
246,2057,2057,225,0.00653
246,2058,2058,225,0.00587
246,2059,2059,225,0.00122
246,2060,2060,225,0.00168
246,2061,2061,225,0.00369
246,2062,2062,225,0.00465
246,2063,2063,225,0.00619
246,2064,2064,225,0.00574
246,2065,2065,225,0.00342
246,2066,2066,225,0.0035
